ArtistKey,TotalSongs,NumTrendingSongs,NumFloppingSongs,TrendingPercentage,TrendingFactor,Role,Name_Out
bb5a6a98-1f9c-4a8b-8573-b1f4641f1cf4,1,1,0,1,1,feat,mistico
ef7c148f-f831-45eb-ac6b-8cc1779c22d5,53,16,0,0.30188679245283018,1,feat,lazza
ebfc131d-cb97-40e2-b5d1-3b8a5c034091,12,4,0,0.33333333333333331,1,feat,thasup
426ee4ba-157e-407a-b5f2-cd973b211529,53,7,0,0.13207547169811321,1,feat,jake la furia
e11adabf-593e-43d3-a03d-dbef5b758086,74,4,0,5.4054054054054057E-2,1,main,mambolosco
123ef79c-da51-42b5-adaa-8d39b119d537,3,1,0,0.33333333333333331,1,main,hindaco
68e9d9be-e4d2-4b52-be8d-12f607a13435,75,3,0,4.0000000000000001E-2,1,main,sottotono
302acf13-1b73-4498-ba0f-4bfd41d605c2,353,19,0,5.3824362606232294E-2,1,main,mondo marcio
71836cc8-d2da-46df-826e-3b66a9943f97,40,7,0,0.17499999999999999,1,main,anna pepe
b6ec1cf8-8982-4977-858f-5c65a66367da,113,9,0,7.9646017699115043E-2,1,main,capo plaza
1d739a60-74f9-4047-9e3b-11786391851a,99,8,0,8.0808080808080815E-2,1,main,drefgold
c360f9f8-845b-4347-977f-1fcaea8e0a29,59,4,0,6.7796610169491525E-2,1,main,mahmood
e0ecf2a7-f36d-42a9-a46a-08df0cd5b270,113,5,0,4.4247787610619468E-2,1,main,il tre
c8d82e49-16d9-4dd1-af83-a3c56915bace,333,30,0,9.0090090090090086E-2,1,main,gemitaiz
aa3c2ef7-eb87-4a57-a8d8-a3a048f2b9c4,108,8,0,0.07407407407407407,1,main,fred de palma
28479888-4108-4448-87e8-6b44e15e2931,142,11,0,0.07746478873239436,1,main,rocco hunt
1215f4fd-baee-46b1-a75c-49ef78360aa8,79,2,0,2.5316455696202531E-2,1,main,babaman
fbea2ea1-16fe-4062-878b-b8ddf0645cd9,172,5,0,2.9069767441860465E-2,1,main,inoki
4f09e442-e5cf-4bc6-8708-787cd1ae5c6b,112,11,0,9.8214285714285712E-2,1,main,ghali
1a0cda2e-ed72-4761-9e85-92d865dcae43,40,2,0,5.0000000000000003E-2,1,main,shablo
d06863f0-f59f-4aa4-8eb9-12ac06396767,68,5,0,7.3529411764705885E-2,1,main,colle der fomento
f7b58334-cb44-4c9a-ad56-ea099c4a1691,182,25,0,0.13736263736263737,1,main,marracash
e14e67f8-812a-4ed7-9ba2-c393952a4538,47,2,0,4.2553191489361701E-2,1,main,mudimbi
87d6b8a6-2498-47b4-bd6a-8a715d86e007,145,18,0,0.12413793103448276,1,main,club dogo
24ba892d-9eaf-44d4-bb2f-a5e335c37d0c,81,5,0,6.1728395061728392E-2,1,main,baby k
f1920f79-4766-474d-bebb-232739ee716b,116,12,0,0.10344827586206896,1,main,rkomi
e34b8ffb-97ae-4090-8db9-c3eb0356fd73,121,9,0,0.0743801652892562,1,main,rancore
b1230e2f-46c6-43e7-8bdd-b7b08bb932d7,186,24,0,0.12903225806451613,1,main,salmo
bc8d49f8-a375-48f5-a782-44f5548506f1,50,8,0,0.16,1,main,slait
da4f887f-89fb-44e7-882b-8aa1b260a00c,174,21,0,0.1206896551724138,1,main,tony boy
39e4c12c-de65-4d4b-a68c-f2b25e365282,69,8,0,0.11594202898550725,1,main,massimo pericolo
