387885,16492477,2,3518905013479783E-2,storytelling,
18688,16861674,1,1083122589133202E-3,storytelling,Andalucía
48848,16831514,2,9021750509193645E-3,storytelling,Calabria
2887800,13992562,0,20638107588874718,storytelling,Campania
8779,16871583,5,2034240059157459E-4,storytelling,Ciudad Autónoma de Buenos Aires
1668107,15212255,0,10965547185476446,storytelling,Lazio
1390040,15490322,8,9736030019259769E-2,storytelling,Liguria
5712244,11168118,0,51147776196490757,storytelling,Lombardia
1014011,15866351,6,3909527779890909E-2,storytelling,Marche
393432,16486930,0,02386326623573946,storytelling,Piemonte
583329,16297033,3,5793570522928926E-2,storytelling,Puglia
18599,16861763,1,1030281946199814E-3,storytelling,Québec
966461,15913901,6,0730615328070725E-2,storytelling,Sardigna/Sardegna
53885,16826477,3,2023934659643847E-3,storytelling,Sicilia
15175,16865187,8,9978249277639197E-4,storytelling,Toscana
607758,16272604,3,7348539914078903E-2,storytelling,Veneto
1105321,15775041,7,0067710125127414E-2,storytelling,Κύπρος
4245831,19062536,0,22273169739849935,trap_gang,
85127,23223240,3,6655953260613075E-3,trap_gang,Andalucía
1971917,21336450,9,2420107374938193E-2,trap_gang,Campania
5970,23302397,2,5619681958040624E-4,trap_gang,Distrito Nacional
1419645,21888722,6,4857372668902277E-2,trap_gang,Lazio
2805348,20503019,0,13682609375721694,trap_gang,Liguria
8474400,14833967,0,57128346045262202,trap_gang,Lombardia
27179,23281188,1,1674232431781403E-3,trap_gang,Marche
624417,22683950,2,7526819623566443E-2,trap_gang,Piemonte
712097,22596270,3,1513918005051274E-2,trap_gang,Puglia
13720,23294647,5,8897651464733512E-4,trap_gang,Québec
910114,22398253,4,0633258317066066E-2,trap_gang,Sardigna/Sardegna
9897,23298470,4,2479184255446819E-4,trap_gang,Toscana
1089795,22218572,4,9048831761105076E-2,trap_gang,Veneto
912910,22395457,4,0763177996323091E-2,trap_gang,Κύπρος
