Calabria,0.40000000000000002,0.44290712468193383
Campania,0.73764258555133078,1.3999873169064574
Lazio,0.40333333333333332,0.59531174550872723
Liguria,0.63366336633663367,0.50941142849334875
Lombardia,0.65967365967365965,0.98374912926954117
Marche,0.73170731707317072,0.9753220992168119
Other,0.40000000000000002,0.80111402866807635
Piemonte,0.93965517241379315,0.86176513769586438
Puglia,0.82666666666666666,0.88628853467395607
Sardigna/Sardegna,0.48965517241379308,0.32944029047215356
Sicilia,0.19047619047619047,0.18127351260972552
Toscana,,
Veneto,0.78212290502793291,0.58420635210611005
