SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
51f74c996f1f44ab91e0145cdeb8732d,153.3,2669.8838,1.2984,0.3032,0.8241,37.8022,2296.2452,36.6221
192adcc9adf44b0780304fd81e6a7a70,129.72,2515.3547,1.3069,0.2731,0.7743,37.2041,2255.9006,30.6359
6f380a6cbb2a497abc912be4321f95c5,84.9,1547.7531,1.2125,0.1773,0.8228,24.6032,1849.5998,17.7461
956412fc91404ff5988c7f15862ee266,117.14,1884.9794,1.1337,0.2034,0.8773,34.0868,1930.2272,21.2632
d94f6e169c374707ab15698aa73cac95,153.01,1737.7581,1.2441,0.3138,0.906,43.8565,2215.4506,36.5028
1123d93886a04306965b4a8c8c66d393,122.98,1130.8945,1.3838,0.1507,0.9279,18.0716,2676.9534,14.3088
1f3ce266db8947068f3328151e74ea2f,146.07,1812.7452,1.235,0.3084,0.8933,27.485,2115.0699,36.1978
91430de808964411b916122fc65235bb,129.34,1498.5186,1.1173,0.2077,0.8567,20.8018,2402.482,22.4804
a4a262cd95bc4e2da544107b71e68090,119.97,1777.6694,1.1541,0.3587,0.871,46.3838,2132.8882,43.4368
44b310df58b148938c7a6c1b73acfbfe,150.11,1028.2468,1.234,0.1994,0.9187,22.0308,2186.8316,20.9161
cddb3135fd7a4d52a1892684a240f023,135.98,1385.0983,1.045,0.2441,0.8568,31.341,2109.3597,26.5365
b671a7c72af24d31aff6a0e5390f6fc6,150.1,2002.7622,1.2404,0.3399,0.8659,40.0712,2042.2873,40.6788
84fd3dd2200e4e14bed2208ac3a249fc,129.65,1139.1404,0.9966,0.1011,0.7687,9.3392,2192.0175,9.4074
09479a64a58740a6a1f93cf80d4ea4ad,161.7,1929.9293,1.2594,0.0348,0.7596,6.5206,1758.0497,1.9674
4bdd646c5dc44d5594692ee589b8710b,129.6,892.3945,1.1764,0.1746,0.8554,17.7383,2776.0985,17.4324
f6dcfd2f6cee48a78231a5486fc92dfa,92.29,5476.3469,1.364,0.1025,0.2511,16.9316,2410.1656,10.0354
c8bdc4faeef041319003e1b44983488d,89.73,750.4491,1.1493,0.1604,0.9457,16.7389,1468.3771,15.4915
8249194addb546d8a24efc3961beb156,102.94,1153.9839,1.3177,0.2396,0.932,24.2288,2511.7221,25.245
55ea077386bf4995a5c1f27493c4b7bb,143.55,1536.752,1.0361,0.036,0.4843,4.4875,2142.6496,2.5214
7e9b6613568746408bfc36ee401413e7,142.74,1334.5862,1.3676,0.1209,0.9236,15.5636,2204.5386,10.4379
bb80a87f38a242debe7eba683137c3cb,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071
7dca5d565f454343808a71bfbfed074b,131.07,1905.387,1.3204,0.1593,0.9064,19.8404,2486.7636,15.0284
0396823d7d674aecaddedae9bdb2fdb4,128.72,1463.3539,1.2804,0.0781,0.8718,11.6074,2139.6551,5.9019
a3f0fbacdd1b4f2790385ac76c7ffa19,81.92,1118.5471,1.3251,0.1214,0.876,14.0956,2319.0912,10.4646
