SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
SYN_3f6e1d5a-e56c-4e2a-a44b-b7dd690a1149,153.01,1737.7581,1.2441,0.3138,0.906,43.8565,2215.4506,36.5028
SYN_f09ee527-2622-445d-bf9a-35bfbc63947e,122.98,1130.8945,1.3838,0.1507,0.9279,18.0716,2676.9534,14.3088
SYN_ed53d0e2-59e6-4cd8-880e-be3d996f1b38,146.07,1812.7452,1.235,0.3084,0.8933,27.485,2115.0699,36.1978
SYN_7a177a28-0498-4d4c-94b8-64b08c43550f,129.34,1498.5186,1.1173,0.2077,0.8567,20.8018,2402.482,22.4804
SYN_ca73790d-a53b-47eb-9e4c-8a5266136ca1,119.97,1777.6694,1.1541,0.3587,0.871,46.3838,2132.8882,43.4368
SYN_cfa68f11-b65d-4005-8ef8-fa25aa7bc488,150.11,1028.2468,1.234,0.1994,0.9187,22.0308,2186.8316,20.9161
SYN_88a48992-f5e7-445d-8270-baf1d70ce415,135.98,1385.0983,1.045,0.2441,0.8568,31.341,2109.3597,26.5365
SYN_29a0a778-dc35-46d6-b7a3-6fc3b5974643,150.1,2002.7622,1.2404,0.3399,0.8659,40.0712,2042.2873,40.6788
SYN_b8d81655-56d3-43e2-b6a5-e7943a3cafaf,129.65,1139.1404,0.9966,0.1011,0.7687,9.3392,2192.0175,9.4074
SYN_9d3ce7df-a60d-43a2-bed1-ab894c1ffec1,161.7,1929.9293,1.2594,0.0348,0.7596,6.5206,1758.0497,1.9674
SYN_fd8a2f95-2038-4365-b9a9-46626f6f6974,129.6,892.3945,1.1764,0.1746,0.8554,17.7383,2776.0985,17.4324
SYN_a6d414e3-c24c-4e47-950c-8ffccb12c266,92.29,5476.3469,1.364,0.1025,0.2511,16.9316,2410.1656,10.0354
SYN_d9ae9922-652b-40d3-90c3-8a2bdf6fccf6,89.73,750.4491,1.1493,0.1604,0.9457,16.7389,1468.3771,15.4915
SYN_7786776b-826d-406e-9e4d-66bd3df161c3,102.94,1153.9839,1.3177,0.2396,0.932,24.2288,2511.7221,25.245
SYN_8dbe533c-f4fc-4278-8c9a-ce1a69fc49b8,143.55,1536.752,1.0361,0.036,0.4843,4.4875,2142.6496,2.5214
SYN_380b6773-a495-4b52-8ca4-8db28b776495,142.74,1334.5862,1.3676,0.1209,0.9236,15.5636,2204.5386,10.4379
SYN_1391d77f-a8e1-4cd7-b979-b95dec861403,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071
SYN_6b0bc169-ac35-45f6-8eba-1a159f98cee1,131.07,1905.387,1.3204,0.1593,0.9064,19.8404,2486.7636,15.0284
SYN_bfcde1c6-5b00-4169-93ba-2073a73b5830,128.72,1463.3539,1.2804,0.0781,0.8718,11.6074,2139.6551,5.9019
