SongKey,Title,DiscNumber,TrackNumber,DurationMs,Popularity,FeaturingArtists,AlbumKey,LyricsKey,SymphonyKey,Category
70e290f6-8aef-4bbd-911e-780fa193448f,​polka 2 :-/,1,3,207761,46.0,"Ernia, Guè",6ee773f3-b493-49a8-98c2-50634504438a,4c2d7687923d435aa4f84bb04b7d0832,a0a52d4c10ef4ef587888c219b758d2d,rap_street
69132b8d-6173-4718-bd54-c2ecb66f6f79,POLKA,1,3,207761,46.0,Thelonious B.,6ee773f3-b493-49a8-98c2-50634504438a,a543b4d468964f6a811fe13c72ae70be,875eb51ab78c4de68fe1a30d369b0818,trap_gang
76ba0bc4-6485-4a24-b6d9-74ab4d5e76e1,​britney ;-),1,1,193544,39.0,"MamboLosco, RADICAL",6ee773f3-b493-49a8-98c2-50634504438a,5ecbd8f0c4604eb697373ff6beace304,df00d065e230469bb91661ff7f8b4295,trap_gang
279c0a3d-529c-4d34-8ee0-4c362ece6a3d,CEO,1,2,169000,47.0,Taxi B,433afb96-d501-460b-ac8b-1eed7d40ca39,3a44ccd3ed0441bdae47cc9acbc21219,36aba1674375452cac935f7c08514b6a,trap_gang
5ce0ec06-cadb-4aaa-aeeb-2c2c11f31bf2,LONDRA,1,8,194779,41.0,Rkomi,9e17653a-9135-48ad-8c01-7363ff5027b3,ff226b312d104dfa88c629f636cdb238,0c411afdeaf54595a97e9fc182bf4878,trap_gang
17e4502f-88f4-4b4d-86ca-17b64ccf28cf,BOHEME,1,11,200329,29.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,1f45884afb654303b9fcc0a5f5e8d460,220bf7a646e44de98a7ee96480712c2a,italian_love
1f4ef8df-2926-43de-9330-5c68c7819b09,LOBBY WAY,1,3,171230,23.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,f0c75a05c09b4c40952499e83f5e1ecb,38ad8b68e40b4ed6abdb5d063add5a32,trap_gang
630abdf2-b5b3-49ff-a7d1-50a875ce6abc,SLATT,1,6,168513,24.0,Dani Faiv,9e17653a-9135-48ad-8c01-7363ff5027b3,13d80ebd1179443795fa6ecb9e77ebc4,5e6e39b808d442ef9b644b195ed382f1,trap_gang
e383fe37-c37e-48aa-b772-07af7b8096f9,MADE IN ITALY,1,1,178080,50.0,,dd72a954-081d-4f3e-b746-8c1ea37c0f72,a53bbf71da114672af23889957f55bc4,05fe8cfb4f3e4cbc87b8c44406d5aca6,italian_love
a40eecba-89eb-45a0-9204-47c3076c536a,ROSE & ROVI,1,1,188534,27.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,3e8e2de8f11c406fa5b97f6797a39d7b,89e38cd4b5934863800199ab0cf3fa78,trap_gang
5ebed20d-3d12-458a-8724-2b6dcdad017a,POLKA 3,1,1,160645,40.0,,5a325374-9863-4f42-8c32-bdcda445ebfe,da9e5d869e7442e78d20acfe40b6de9e,7e37d7bbc8d747caa348120a5b01129e,rap_street
3fbf77f0-1722-466a-a2aa-5c0d1cc7df24,COSANOSTRA,1,2,136737,25.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,c237bfb025fe41079301f73bf2759c1d,8056878b59224abdb82551602f6f5e9c,trap_gang
8dc1fbb2-1b9d-4226-a1cf-d91e8a681f38,NUOVI GAY,1,9,210369,21.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,eca09845d9554fbaba79bead38f7b8dd,6c16f411ccce43f7834d32fc54fb207d,trap_gang
f841c01f-2304-4671-9afd-de718766e9fa,OCCHIO E CROCE,1,4,134437,23.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,8af5602c914949b9bd3e357072d7e6ca,4054f1d440b9486abc4cfe548b3c48b4,trap_gang
1a25b6b0-7930-402b-a711-580911c168d2,​life :-(,1,4,129560,26.0,,6ee773f3-b493-49a8-98c2-50634504438a,0f4d0f5bdfed41f59ba2e4f5e11ba22d,a21d5dbb3184410e9d5031b07f57ebf3,italian_love
d6c2cce9-4152-4be5-8a16-2f1e09522592,RAF SIMONS,1,7,61922,21.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,9b71c0aaabb94f358c13f646dc8d6f2b,c82085fd4e18415eb41d23b791817ece,rap_street
cc7c625b-4682-476f-a44e-04d232e4d906,SLIME,1,10,159809,22.0,Wayne,9e17653a-9135-48ad-8c01-7363ff5027b3,c5476c628ff14c75b446a665a597745a,7497312d274844b0b1f2d395c457558a,trap_gang
c189a34d-cd31-43fe-9a6a-f84d766b2830,TU MI FAI,1,12,167729,23.0,Boro,9e17653a-9135-48ad-8c01-7363ff5027b3,c07eb9ca0be74e5d93bd4a0fc80bd8a6,9121def657ba462799dfa41dba9ef412,storytelling
1683e4f3-2028-4b20-aeb9-3c96df4be14f,PARADISO,1,13,140210,21.0,,9e17653a-9135-48ad-8c01-7363ff5027b3,6d7d2c11b44a4f35a0fd5dafdb96a676,42255ab53a994647b84754c305e06b65,italian_pop
a6850404-c076-4693-a820-098a180fb68f,​no love :-),1,2,190500,23.0,,6ee773f3-b493-49a8-98c2-50634504438a,1d8011f07de04a8a98049d61c63b9a7a,a0b02266e4214f87ad12c19a150a5f51,english_pop
bdaeb52c-da80-4673-8d26-383a7fff6631,​fantasmi ;-(,1,5,206550,25.0,,6ee773f3-b493-49a8-98c2-50634504438a,4726a376ddf04c69bd6b6ee09d2274de,dbcccc83a61b447a97d9f1b877cc76ca,trap_gang
aeed8e1e-9bff-4eb1-be83-a9eec9f07777,Facciamolo,1,1,141706,21.0,,94bcffb9-84d4-46fb-893e-cad7705a423b,346f71ea256b422286f703620fa50ed2,3d0a0d77982748b389a4e34c26dae4c3,rap_street
a15a6c56-b16f-43fe-a74e-8c3234c3d567,Freestyle #redbullnext #essemagazine,1,2,169000,47.0,,433afb96-d501-460b-ac8b-1eed7d40ca39,499cc06bd29f4b2c8ddd9d5f9cebe985,95173382cb2347d19b2af6612ed93df8,trap_gang
3f7e78ed-f0d3-4e20-9ddb-9980a5f2f187,Scolapasta,1,10,138560,48.0,,c549c6d0-2536-4513-acf5-ded850685b13,5a2bccfb079a4097b62acf66817eab54,7c2338fb8aad440e837e33d64ad4f0a4,trap_gang
288eb42b-03a2-4bce-a515-7979912a4988,#IORESTOACASA Freestyle,1,10,138560,48.0,,c549c6d0-2536-4513-acf5-ded850685b13,7c0cd1d8d37a40faa69345445477c420,48817ec663984aab9d7308c6eb0db9f5,rap_street
90d28e9c-241c-41d4-b2b9-3af874a950ff,Fatass,1,1,152343,11.0,,56cb9edc-58e5-48c3-8895-e75388dab037,b60290a586b9472a8f512c9431341b45,c1e11bf620c6457b9cc24d2c5b31ffb0,trap_gang
580b0301-0ea6-451f-9a7e-74d22129cff2,Ok ok pih roh toh toh !,1,5,111541,17.0,,ed2b42b7-4295-42f8-a85a-cb4192c2e39e,ffaaa4a9e208407caba881ddc1f578df,fd668aca02ce4575918945f81d803e70,trap_gang
18d3fa09-bd6a-46fd-a90b-4958ba50ea08,Exodia / 1tot,1,4,156933,19.0,,ed2b42b7-4295-42f8-a85a-cb4192c2e39e,d20eb5ebc14244ff9e67dee233f15a3d,276d08b90c7740d08ebb3b905bf2707d,trap_gang
32e77a87-49bb-4d53-b80f-64f71c82ed99,Ramoscelli,1,1,96595,17.0,,ed2b42b7-4295-42f8-a85a-cb4192c2e39e,5378fbd83d9b44fa9c7098811323912e,ef74bb7c56754315a3fa630e87228cb5,english_pop
a90cc9de-9b39-4215-95d2-a29fd93c741e,Sono Io !!,1,3,144000,19.0,,ed2b42b7-4295-42f8-a85a-cb4192c2e39e,ad894f06ab894ff88ee6beab45c40c5c,419f308aa1f94e048f531314f8af8035,trap_gang
d096c263-599a-4b1a-adc9-d5d225686e36,Rovesciata,1,2,101333,18.0,,ed2b42b7-4295-42f8-a85a-cb4192c2e39e,938d80725bb4400fae1327bacbb28fa3,8ca486567d7c452b96723f69c37ddcc5,trap_gang
4c08df6f-eb86-4cc0-b87f-fbc49a136c73,ceo 2,1,2,169000,47.0,Macello,433afb96-d501-460b-ac8b-1eed7d40ca39,e30c727285d847408bb31e85422426e9,79d7d4f1748944fbbfd8917e50eb213e,rap_street
2805a819-df87-4992-86d2-00c24369f7f8,Lil Peep,1,5,97593,21.0,,413f2b46-2623-48f0-a8fb-0b3ce4f0dabd,6aa5c356d20e4757aeb376875a5090b3,159bad37b9d344f6aa4d87a2f1c1ff7c,trap_gang
288c3417-33de-432c-94b1-b6ece13b60cb,ABC,1,10,138560,48.0,,c549c6d0-2536-4513-acf5-ded850685b13,89443fbffe6b4b4fae8102235a188140,cbd5b3db66f942a2b5cf7cb534ac4f6f,trap_gang
c6de8b7b-fa1d-44e4-baed-ef92410f8ccb,ALIENO,1,1,111966,10.0,,9987bbe5-d83f-4a10-8a98-d5e3ffe20416,4b74c12ec8ff4d179dd1049fe8fad945,27bfdf2f05344f0ea42b7422c874bd2d,trap_gang
fc94acba-5fe4-4696-bcd9-b6d194588d60,Teschio,1,7,179277,14.0,,ed2b42b7-4295-42f8-a85a-cb4192c2e39e,df017e10e7d841bcb85c3f2c4e90d618,f77e9ca6cf44452e8e2c78c2a971ccc4,trap_gang
3a40ad75-777a-40b3-8897-2e5eb41ffd32,Mattonelle*,1,10,138560,48.0,,c549c6d0-2536-4513-acf5-ded850685b13,72f4f4fe05e84f39a8303cd30398645e,17ff7f6bf3a145389bc9ad0d17770b47,trap_gang
429a051d-8e05-45a1-a892-e7ad42805d8c,BELLU GUAGLIONE,1,1,174545,41.0,,5d46e7f5-78fa-4d8a-859f-c437e28ecbdc,60c9065f680d4a82810298786a2cc278,4517ee357fd44dbf9f8ed8ed11d659c5,italian_pop
b33f5750-756b-4c93-ae6a-f31a8c434a69,Acqua Panna,1,5,155178,0.0,,93e58acd-ac96-4927-a648-272e0f1151c2,8d527bf4cbf3427fa7ae015e4361eb1b,0468540d5b774a75b4606174b4655dbf,rap_street
282570bb-f209-4c8c-9429-728e5b2abd56,AIDS FREESTYLE,1,10,138560,48.0,,c549c6d0-2536-4513-acf5-ded850685b13,dd9b4ad9e9a84ed5a2443a1f8a1b3073,b5d4e87ff07b436aae7b89f0055c23f5,trap_gang
