SongKey,ArtistKey,DateKey,Streams1Month,IsPrimary
580b0301-0ea6-451f-9a7e-74d22129cff2,56aabcd8-13aa-4f63-bc78-26eaf025c651,a26a26b1-291c-4711-8280-8244ca020c5a,4409.0,1
18d3fa09-bd6a-46fd-a90b-4958ba50ea08,56aabcd8-13aa-4f63-bc78-26eaf025c651,a26a26b1-291c-4711-8280-8244ca020c5a,5044.0,1
32e77a87-49bb-4d53-b80f-64f71c82ed99,56aabcd8-13aa-4f63-bc78-26eaf025c651,a26a26b1-291c-4711-8280-8244ca020c5a,5197.0,1
a90cc9de-9b39-4215-95d2-a29fd93c741e,56aabcd8-13aa-4f63-bc78-26eaf025c651,a26a26b1-291c-4711-8280-8244ca020c5a,4104.0,1
d096c263-599a-4b1a-adc9-d5d225686e36,56aabcd8-13aa-4f63-bc78-26eaf025c651,948dc205-29df-4f7a-85d3-d597ffdddbe8,5228.0,1
4c08df6f-eb86-4cc0-b87f-fbc49a136c73,56aabcd8-13aa-4f63-bc78-26eaf025c651,101852b3-f0c4-4471-aa09-1b862a9d39ec,4354.0,1
2805a819-df87-4992-86d2-00c24369f7f8,56aabcd8-13aa-4f63-bc78-26eaf025c651,31bf092b-f7f7-4f58-b24d-176b926c2db2,4140.0,1
288c3417-33de-432c-94b1-b6ece13b60cb,56aabcd8-13aa-4f63-bc78-26eaf025c651,42d5bc2c-693f-4b4c-a275-ee90b522ce21,5915.0,1
c6de8b7b-fa1d-44e4-baed-ef92410f8ccb,56aabcd8-13aa-4f63-bc78-26eaf025c651,123ecd33-dd43-455a-9c99-f82c479b8a7c,5947.0,1
fc94acba-5fe4-4696-bcd9-b6d194588d60,56aabcd8-13aa-4f63-bc78-26eaf025c651,a26a26b1-291c-4711-8280-8244ca020c5a,5630.0,1
3a40ad75-777a-40b3-8897-2e5eb41ffd32,56aabcd8-13aa-4f63-bc78-26eaf025c651,cc49165a-db50-4f03-9bd0-8021b710cd7d,4623.0,1
429a051d-8e05-45a1-a892-e7ad42805d8c,56aabcd8-13aa-4f63-bc78-26eaf025c651,99432b51-e481-4cfe-a8a7-ab0dc240c72d,4207.0,1
b33f5750-756b-4c93-ae6a-f31a8c434a69,56aabcd8-13aa-4f63-bc78-26eaf025c651,31bf092b-f7f7-4f58-b24d-176b926c2db2,5383.0,1
282570bb-f209-4c8c-9429-728e5b2abd56,56aabcd8-13aa-4f63-bc78-26eaf025c651,a86d052f-89d1-478a-bb9e-f6b8fc71e6d8,4893.0,1
b2aa9a12-a125-49a8-a1e8-582379431cec,56aabcd8-13aa-4f63-bc78-26eaf025c651,101852b3-f0c4-4471-aa09-1b862a9d39ec,4255.0,1
95742eb3-6032-4b71-b16b-2d57fdc84efa,56aabcd8-13aa-4f63-bc78-26eaf025c651,667000d6-f6b6-420b-9da1-130390ba13d7,5003.0,1
15a24552-0b9b-433c-8aa2-653f88da91b8,56aabcd8-13aa-4f63-bc78-26eaf025c651,8e487b9c-951b-4885-8f91-33e794ea3c6b,4080.0,1
9c528985-9f22-4b00-807b-db9ebf66697e,56aabcd8-13aa-4f63-bc78-26eaf025c651,a9e7e14f-efd7-4ffb-982d-81bb1506bb32,5836.0,1
cac55eb3-3543-484f-ab00-b97019c86778,56aabcd8-13aa-4f63-bc78-26eaf025c651,101852b3-f0c4-4471-aa09-1b862a9d39ec,4531.0,1
3d4545ca-4cf5-4a04-8800-b863f85417f7,56aabcd8-13aa-4f63-bc78-26eaf025c651,31bf092b-f7f7-4f58-b24d-176b926c2db2,5339.0,1
6f4dd136-48fa-4e03-a167-8ef9d75bd763,56aabcd8-13aa-4f63-bc78-26eaf025c651,101852b3-f0c4-4471-aa09-1b862a9d39ec,4636.0,1
b6b77e9a-5bd4-46cc-9549-6f634bfa887b,56aabcd8-13aa-4f63-bc78-26eaf025c651,c04a477b-f95a-4ff3-9e99-9e6fb51db026,5054.0,1
03594a8d-9229-4fa0-b41b-f7bfcb087a3a,56aabcd8-13aa-4f63-bc78-26eaf025c651,101852b3-f0c4-4471-aa09-1b862a9d39ec,5108.0,1
0358c2b0-adb3-4565-917c-a825f2ed80f0,56aabcd8-13aa-4f63-bc78-26eaf025c651,d323eb65-183e-476a-a229-b2b18cdee772,4381.0,1
04b6ba03-7094-4eab-9d89-f255666f6c61,56aabcd8-13aa-4f63-bc78-26eaf025c651,400a19ac-fc19-425f-abbf-05cbb9fa370c,5955.0,1
2522a06e-fd30-4dc3-8eb3-bf730884bcb0,56aabcd8-13aa-4f63-bc78-26eaf025c651,101852b3-f0c4-4471-aa09-1b862a9d39ec,5565.0,1
ba50ed2a-694b-416b-a58a-df866a34848a,56aabcd8-13aa-4f63-bc78-26eaf025c651,d17c9a73-8c9c-48aa-adba-a49b9c8627dc,5896.0,1
142bc4e4-a22a-4146-a127-1fc52174b20b,56aabcd8-13aa-4f63-bc78-26eaf025c651,dab4de5b-3bf2-44b6-90af-621012832311,5807.0,1
e76b8825-7973-43ed-bb66-806cd2a85574,56aabcd8-13aa-4f63-bc78-26eaf025c651,52e5cf37-f67e-46c6-8ae9-7e179548a085,5207.0,1
6fdeb460-e8ca-46ee-beda-a9a818db7467,56aabcd8-13aa-4f63-bc78-26eaf025c651,055ecfa6-91c7-48fe-8fe6-cbf6625b64fe,5860.0,1
dece54aa-cbbd-4a0e-b3fc-23a25eecb1fa,56aabcd8-13aa-4f63-bc78-26eaf025c651,dd39ce55-672c-43dd-bfa1-b5a1bef7763a,4188.0,1
9bac9600-9f80-4815-974e-fcdf63e602e0,56aabcd8-13aa-4f63-bc78-26eaf025c651,2739391f-f56b-46cb-b528-19f90d251f57,4405.0,1
5363fb43-9f59-409d-8a5c-99bc4fb76c9c,56aabcd8-13aa-4f63-bc78-26eaf025c651,4fedee36-b019-4a56-9e31-b7c3ffebb04e,4103.0,1
d6ea9063-7520-44e3-bf0e-55012dd7ecb6,56aabcd8-13aa-4f63-bc78-26eaf025c651,2739391f-f56b-46cb-b528-19f90d251f57,4664.0,1
d0c59070-f6dc-464d-bea0-dd2046c435b2,56aabcd8-13aa-4f63-bc78-26eaf025c651,6ece2c6d-664d-4550-8c20-daa721051473,4791.0,1
edd5fbe3-d3c2-4814-b698-e9a01e28c0e0,56aabcd8-13aa-4f63-bc78-26eaf025c651,31bf092b-f7f7-4f58-b24d-176b926c2db2,4555.0,1
a81a234e-b8f9-4ca6-b1a8-ffa266187df3,56aabcd8-13aa-4f63-bc78-26eaf025c651,4cebc780-0a90-488b-a9aa-c38c76ab9c20,5675.0,1
73ffc627-12d7-41dd-bc81-ecc8468f3513,56aabcd8-13aa-4f63-bc78-26eaf025c651,c28daed8-cd76-4dfa-95fe-7c74cabedd9c,4727.0,1
1360f214-762b-4ebb-996c-4db99d01d16c,56aabcd8-13aa-4f63-bc78-26eaf025c651,1d3fefee-5d9c-4d43-a8c6-9e99c8f1a875,4576.0,1
5e88bb45-18b2-423d-8eed-9944b0f6f488,56aabcd8-13aa-4f63-bc78-26eaf025c651,91f01b14-3ed9-4f57-b573-710ca74be0e4,5100.0,1
