SongID_Original,ArtistID_Original
TR212338,ART88026810
TR743707,ART88026810
TR612337,ART88026810
TR994495,ART88026810
TR372774,ART88026810
TR257728,ART88026810
TR257728,ART89596800
TR488821,ART88026810
TR993112,ART88026810
TR341799,ART88026810
TR394875,ART88026810
TR444969,ART88026810
TR827502,ART88026810
TR827502,ART64850829
TR674291,ART88026810
TR674291,ART48622722
TR479694,ART88026810
TR690670,ART88026810
TR652752,ART88026810
TR708360,ART88026810
TR584013,ART88026810
TR125573,ART88026810
TR241944,ART88026810
TR753977,ART88026810
TR807338,ART88026810
TR202937,ART88026810
TR106485,ART88026810
TR210154,ART88026810
TR348646,ART88026810
TR460325,ART88026810
TR557093,ART88026810
TR937881,ART88026810
TR743448,ART88026810
TR432428,ART88026810
TR480687,ART88026810
TR372255,ART88026810
TR440199,ART88026810
TR121015,ART88026810
TR865487,ART88026810
TR725416,ART88026810
TR481273,ART88026810
TR481273,ART39344115
TR732986,ART88026810
TR120883,ART88026810
TR511380,ART88026810
TR350878,ART88026810
TR926861,ART88026810
TR834217,ART88026810
TR264646,ART88026810
TR663153,ART88026810
TR525648,ART88026810
TR815514,ART88026810
TR735016,ART88026810
TR819317,ART88026810
TR114966,ART88026810
TR720005,ART88026810
TR993674,ART88026810
TR847020,ART88026810
TR514907,ART88026810
TR416240,ART88026810
TR358391,ART88026810
TR731743,ART88026810
TR936795,ART88026810
TR466375,ART88026810
TR975063,ART88026810
TR907194,ART88026810
TR611312,ART88026810
TR972668,ART88026810
TR416283,ART88026810
TR745980,ART88026810
TR890034,ART88026810
TR676899,ART88026810
TR266226,ART88026810
TR238386,ART88026810
TR601663,ART88026810
TR461343,ART88026810
TR375560,ART88026810
TR737119,ART83631935
TR121673,ART83631935
TR121673,ART87162895
TR497292,ART83631935
TR864686,ART83631935
TR594886,ART83631935
TR986430,ART83631935
TR230593,ART83631935
TR654230,ART83631935
TR192580,ART83631935
TR153838,ART83631935
TR153838,ART61734477
TR187151,ART83631935
TR327917,ART83631935
TR973655,ART83631935
TR758411,ART83631935
TR627041,ART83631935
TR865433,ART83631935
TR694732,ART83631935
TR629470,ART83631935
TR640824,ART83631935
TR143161,ART83631935
TR446988,ART83631935
TR374285,ART83631935
TR678543,ART39344115
TR501409,ART39344115
TR907775,ART39344115
TR113434,ART39344115
TR113434,ART78358659
TR113434,ART48622722
TR946838,ART39344115
TR932036,ART39344115
TR812690,ART39344115
TR255598,ART39344115
TR255598,ART08302616
TR830773,ART39344115
TR930078,ART39344115
TR930078,ART85780419
TR963090,ART39344115
TR963090,ART70825116
TR578122,ART39344115
TR578122,ART88026810
TR933715,ART39344115
TR933715,ART70825116
TR933715,ART87497821
TR694879,ART39344115
TR721579,ART39344115
TR580342,ART39344115
TR580342,ART87497821
TR786668,ART39344115
TR678962,ART39344115
TR208409,ART39344115
TR949520,ART39344115
TR949520,ART05528539
TR398315,ART39344115
TR398315,ART85046033
TR635953,ART39344115
TR142384,ART39344115
TR772603,ART39344115
TR772603,ART87497821
TR230478,ART39344115
TR520250,ART39344115
TR198630,ART39344115
TR319135,ART39344115
TR343382,ART39344115
TR343382,ART87162895
TR343382,ART64850829
TR253376,ART39344115
TR318541,ART39344115
TR318541,ART83125571
TR936261,ART39344115
TR891506,ART39344115
TR891506,ART86549066
TR534083,ART39344115
TR765270,ART39344115
TR765270,ART64850829
TR936150,ART39344115
TR863566,ART39344115
TR388378,ART39344115
TR388378,ART57242110
TR566076,ART39344115
TR609656,ART39344115
TR609656,ART02733420
TR213067,ART39344115
TR587870,ART39344115
TR270089,ART39344115
TR663447,ART39344115
TR248150,ART39344115
TR859902,ART39344115
TR859902,ART87162895
TR278430,ART39344115
TR960797,ART39344115
TR843415,ART39344115
TR843415,ART07127070
TR288384,ART39344115
TR216323,ART39344115
TR216323,ART86549066
TR525338,ART39344115
TR525338,ART25707984
TR878274,ART39344115
TR440214,ART39344115
TR685574,ART39344115
TR245117,ART39344115
TR862177,ART39344115
TR994099,ART39344115
TR138549,ART39344115
TR307970,ART39344115
TR376023,ART39344115
TR680065,ART39344115
TR472894,ART39344115
TR538180,ART39344115
TR469953,ART39344115
TR801615,ART39344115
TR801615,ART25707984
TR791489,ART39344115
TR817962,ART39344115
TR971533,ART39344115
TR910973,ART39344115
TR337843,ART39344115
TR454186,ART39344115
TR855044,ART39344115
TR686116,ART39344115
TR251021,ART39344115
TR281060,ART39344115
TR770458,ART39344115
TR624333,ART39344115
TR145430,ART39344115
TR528672,ART39344115
TR890122,ART39344115
TR200936,ART39344115
TR115744,ART39344115
TR814815,ART39344115
TR349937,ART39344115
TR525771,ART39344115
TR412129,ART39344115
TR289233,ART39344115
TR945750,ART39344115
TR945750,ART85780419
TR791377,ART39344115
TR606950,ART39344115
TR155914,ART39344115
TR521587,ART39344115
TR293124,ART39344115
TR661605,ART39344115
TR660076,ART39344115
TR214362,ART39344115
TR369777,ART39344115
TR236358,ART39344115
TR606025,ART39344115
TR740132,ART39344115
TR466976,ART39344115
TR446701,ART39344115
TR420178,ART39344115
TR540787,ART39344115
TR266237,ART39344115
TR892361,ART39344115
TR309027,ART39344115
TR368629,ART39344115
TR826767,ART39344115
TR505501,ART39344115
TR199770,ART39344115
TR145619,ART39344115
TR472675,ART39344115
TR990546,ART39344115
TR235108,ART39344115
TR720383,ART39344115
TR720383,ART86549066
TR423080,ART39344115
TR702473,ART39344115
TR180163,ART39344115
TR606841,ART39344115
TR677289,ART39344115
TR381191,ART39344115
TR897851,ART39344115
TR624317,ART39344115
TR709785,ART39344115
TR348515,ART39344115
TR575528,ART39344115
TR745650,ART39344115
TR843067,ART39344115
TR486985,ART39344115
TR235741,ART39344115
TR169398,ART39344115
TR175046,ART39344115
TR674810,ART39344115
TR434190,ART39344115
TR353123,ART39344115
TR300396,ART39344115
TR686352,ART39344115
TR250749,ART39344115
TR489812,ART39344115
TR880012,ART39344115
TR199593,ART39344115
TR969235,ART39344115
TR159777,ART39344115
TR338808,ART39344115
TR335051,ART39344115
TR968331,ART39344115
TR877622,ART39344115
TR608701,ART39344115
TR906945,ART39344115
TR874534,ART39344115
TR342901,ART39344115
TR219939,ART39344115
TR156888,ART39344115
TR721078,ART39344115
TR764006,ART39344115
TR600237,ART39344115
TR122231,ART39344115
TR867407,ART39344115
TR235284,ART39344115
TR172949,ART39344115
TR972680,ART39344115
TR735612,ART39344115
TR408444,ART39344115
TR829574,ART39344115
TR202956,ART39344115
TR761369,ART39344115
